"data_category","action","action_name","column_name","event_name","price_code","old_value","new_value","upd_user","upd_datetime"
"Price Code","I","Insert",NA,"E6BB0327","A",NA,"255.21|255.21||I|Standard Pricing|245.21|0.00|0.00|10.00|0.00","BRA502","2025-11-29 16:47:44.087"
"Price Code","U","Update","price","E6BB0327","A","255.21","240.21","BRA510","2026-02-11 06:25:36.296"
"Price Code","U","Update","price","E6BB0327","A","240.21","245.21","BRA509","2026-02-15 18:58:33.960"
"Price Code","U","Update","price","E6BB0327","A","245.21","275.21","BRA500","2026-02-18 09:16:43.932"
"Price Code","U","Update","price","E6BB0327","A","275.21","260.21","BRA506","2026-03-20 10:11:31.331"
"Price Code","I","Insert",NA,"E6BB0327","B",NA,"230.51|230.51||I|Standard Pricing|220.51|0.00|0.00|10.00|0.00","BRA510","2025-11-18 10:07:50.330"
"Price Code","U","Update","price","E6BB0327","B","230.51","255.51","BRA501","2026-01-20 23:33:46.792"
"Price Code","U","Update","price","E6BB0327","B","255.51","240.51","BRA510","2026-01-23 09:48:35.599"
"Price Code","U","Update","price","E6BB0327","B","240.51","230.51","BRA508","2026-02-02 15:59:42.469"
"Price Code","U","Update","price","E6BB0327","B","230.51","250.51","BRA501","2026-02-22 15:17:24.520"
"Price Code","U","Update","price","E6BB0327","B","250.51","255.51","BRA502","2026-02-25 13:31:35.779"
"Price Code","I","Insert",NA,"E6BB0327","C",NA,"178.39|178.39||I|Standard Pricing|168.39|0.00|0.00|10.00|0.00","BRA503","2025-12-07 05:35:51.937"
"Price Code","U","Update","price","E6BB0327","C","178.39","173.39","BRA506","2026-01-20 03:27:24.009"
"Price Code","U","Update","price","E6BB0327","C","173.39","188.39","BRA505","2026-02-02 05:19:03.761"
"Price Code","I","Insert",NA,"E6BB0327","D",NA,"195.05|195.05||I|Standard Pricing|185.05|0.00|0.00|10.00|0.00","BRA507","2025-11-30 21:40:54.017"
"Price Code","U","Update","price","E6BB0327","D","195.05","180.05","BRA508","2026-02-02 19:41:14.115"
"Price Code","U","Update","price","E6BB0327","D","180.05","185.05","BRA504","2026-02-17 13:37:44.647"
"Price Code","U","Update","price","E6BB0327","D","185.05","205.05","BRA510","2026-03-21 00:43:38.717"
"Price Code","I","Insert",NA,"E6BB0327","E",NA,"142.9|142.9||I|Standard Pricing|132.9|0.00|0.00|10.00|0.00","BRA500","2025-11-14 20:16:26.823"
"Price Code","U","Update","price","E6BB0327","E","142.9","162.9","BRA509","2026-03-04 13:25:57.736"
"Price Code","U","Update","price","E6BB0327","E","162.9","192.9","BRA503","2026-03-05 09:08:16.855"
"Price Code","U","Update","price","E6BB0327","E","192.9","202.9","BRA506","2026-03-11 21:07:53.893"
"Price Code","U","Update","price","E6BB0327","E","202.9","187.9","BRA504","2026-03-19 06:25:58.657"
"Price Code","I","Insert",NA,"E6BB0327","F",NA,"129.74|129.74||I|Standard Pricing|119.74|0.00|0.00|10.00|0.00","BRA500","2025-11-17 02:16:37.977"
"Price Code","U","Update","price","E6BB0327","F","129.74","149.74","BRA505","2026-01-29 18:01:07.403"
"Price Code","U","Update","price","E6BB0327","F","149.74","179.74","BRA506","2026-02-17 23:31:37.184"
"Price Code","U","Update","price","E6BB0327","F","179.74","184.74","BRA507","2026-02-25 11:15:22.550"
