"data_category","action","action_name","column_name","event_name","seat_location","old_value","new_value","upd_user","upd_datetime"
"Reclass","U","Update","Hold Class","E6BB0327","212/3/7-7","HOLD","DIST-OPEN","BRA500","2026-01-21 02:40:03.399"
"Reclass","U","Update","Hold Class","E6BB0327","111/6/17-18","HOLD","DIST-OPEN","BRA507","2026-03-24 16:32:16.524"
"Reclass","U","Update","Hold Class","E6BB0327","105/9/20-20","HOLD","DIST-OPEN","BRA503","2025-12-11 13:14:35.512"
"Reclass","U","Update","Hold Class","E6BB0327","219/6/6-14","HOLD","COMP","BRA506","2026-02-11 15:50:30.025"
"Reclass","U","Update","Hold Class","E6BB0327","115/8/2-6","SEASON","DIST-OPEN","BRA509","2025-12-08 03:51:38.416"
"Reclass","U","Update","Hold Class","E6BB0327","304/10/17-17","HOLD","COMP","BRA502","2025-11-19 18:25:33.693"
"Reclass","U","Update","Hold Class","E6BB0327","119/9/8-8","SEASON","DIST-OPEN","BRA506","2025-11-29 21:32:59.284"
"Reclass","U","Update","Hold Class","E6BB0327","304/10/4-12","DIST-OPEN","HOLD","BRA500","2025-11-20 14:59:24.701"
"Reclass","U","Update","Hold Class","E6BB0328","320/1/16-23","GROUP","DIST-OPEN","BRA500","2026-03-23 17:41:03.709"
"Reclass","U","Update","Hold Class","E6BB0328","408/2/10-12","HOLD","COMP","BRA500","2025-11-15 04:28:38.069"
"Reclass","U","Update","Hold Class","E6BB0328","106/5/11-16","GROUP","DIST-OPEN","BRA503","2026-03-19 22:40:51.250"
"Reclass","U","Update","Hold Class","E6BB0328","406/8/9-17","SEASON","DIST-OPEN","BRA508","2025-12-23 11:22:10.829"
"Reclass","U","Update","Hold Class","E6BB0328","310/5/11-17","SEASON","DIST-OPEN","BRA508","2026-03-01 17:21:00.333"
"Reclass","U","Update","Hold Class","E6BB0328","302/1/13-15","GROUP","DIST-OPEN","BRA501","2026-01-01 16:37:09.470"
"Reclass","U","Update","Hold Class","E6BB0328","101/5/6-8","HOLD","COMP","BRA503","2026-01-16 21:10:41.401"
"Reclass","U","Update","Hold Class","E6BB0328","214/3/13-19","SEASON","DIST-OPEN","BRA503","2025-12-25 15:53:17.535"
"Reclass","U","Update","Hold Class","E6BB0328","114/10/14-19","HOLD","COMP","BRA508","2025-12-17 09:22:59.703"
"Reclass","U","Update","Hold Class","E6BB0328","309/6/17-22","HOLD","COMP","BRA507","2026-01-14 21:23:26.647"
"Reclass","U","Update","Hold Class","E6BB0328","218/10/7-8","HOLD","COMP","BRA508","2026-02-14 22:58:58.474"
"Reclass","U","Update","Hold Class","E6BB0328","110/9/7-7","GROUP","DIST-OPEN","BRA508","2025-11-28 23:22:15.608"
"Reclass","U","Update","Hold Class","E6BB0328","106/9/11-15","HOLD","DIST-OPEN","BRA503","2025-11-20 15:11:45.293"
"Reclass","U","Update","Hold Class","E6BB0328","319/7/5-8","HOLD","COMP","BRA507","2026-02-10 00:52:49.172"
"Reclass","U","Update","Hold Class","E6BB0328","118/1/11-19","SEASON","DIST-OPEN","BRA506","2026-03-17 10:00:35.381"
"Reclass","U","Update","Hold Class","E6BB0328","204/2/4-11","SEASON","DIST-OPEN","BRA502","2026-01-03 00:50:12.224"
"Reclass","U","Update","Hold Class","E6BB0328","318/9/8-8","SEASON","DIST-OPEN","BRA507","2025-11-16 13:25:20.921"
"Reclass","U","Update","Hold Class","E6BB0329","401/4/5-6","DIST-OPEN","HOLD","BRA508","2026-03-13 07:14:55.663"
"Reclass","U","Update","Hold Class","E6BB0329","301/5/17-25","DIST-OPEN","HOLD","BRA508","2025-12-05 18:48:00.459"
"Reclass","U","Update","Hold Class","E6BB0329","304/10/2-5","HOLD","COMP","BRA507","2025-11-23 06:54:44.361"
"Reclass","U","Update","Hold Class","E6BB0329","214/1/9-9","HOLD","DIST-OPEN","BRA510","2026-01-02 13:35:44.309"
"Reclass","U","Update","Hold Class","E6BB0329","315/1/7-8","HOLD","COMP","BRA506","2026-02-27 18:24:08.348"
"Reclass","U","Update","Hold Class","E6BB0329","408/7/19-25","GROUP","DIST-OPEN","BRA510","2025-12-25 04:12:25.139"
"Reclass","U","Update","Hold Class","E6BB0329","302/7/2-8","HOLD","DIST-OPEN","BRA507","2026-01-24 05:12:16.125"
"Reclass","U","Update","Hold Class","E6BB0329","208/1/18-22","HOLD","COMP","BRA509","2026-03-27 02:38:22.836"
"Reclass","U","Update","Hold Class","E6BB0329","306/6/12-14","HOLD","COMP","BRA503","2025-12-01 10:01:18.805"
"Reclass","U","Update","Hold Class","E6BB0329","212/9/4-7","GROUP","DIST-OPEN","BRA500","2025-12-19 09:34:25.421"
"Reclass","U","Update","Hold Class","E6BB0329","109/1/2-5","DIST-OPEN","HOLD","BRA507","2025-11-13 19:19:18.106"
"Reclass","U","Update","Hold Class","E6BB0329","211/5/18-26","HOLD","DIST-OPEN","BRA509","2026-02-10 09:35:08.351"
"Reclass","U","Update","Hold Class","E6BB0329","408/8/12-16","SEASON","DIST-OPEN","BRA503","2025-12-10 17:24:41.870"
"Reclass","U","Update","Hold Class","E6BB0329","204/9/15-22","GROUP","DIST-OPEN","BRA506","2025-12-11 05:51:11.775"
"Reclass","U","Update","Hold Class","E6BB0329","215/6/3-6","GROUP","DIST-OPEN","BRA502","2025-12-08 05:53:36.497"
"Reclass","U","Update","Hold Class","E6BB0329","409/5/6-12","GROUP","DIST-OPEN","BRA501","2026-01-21 07:08:55.581"
"Reclass","U","Update","Hold Class","E6BB0329","205/3/2-6","SEASON","DIST-OPEN","BRA500","2026-03-24 19:55:15.301"
"Reclass","U","Update","Hold Class","E6BB0329","410/1/9-16","SEASON","DIST-OPEN","BRA507","2026-03-06 04:04:01.130"
"Reclass","U","Update","Hold Class","E6BB0329","209/4/8-10","HOLD","DIST-OPEN","BRA501","2025-11-21 03:58:09.648"
"Reclass","U","Update","Hold Class","E6BB0329","310/5/10-14","HOLD","COMP","BRA502","2025-11-10 21:54:13.296"
"Reclass","U","Update","Hold Class","E6BB0329","204/3/9-16","GROUP","DIST-OPEN","BRA501","2026-01-01 01:44:17.575"
"Reclass","U","Update","Hold Class","E6BB0329","312/3/19-20","HOLD","COMP","BRA509","2025-11-27 22:59:15.125"
"Reclass","U","Update","Hold Class","E6BB0329","102/1/10-17","HOLD","COMP","BRA502","2026-02-05 00:47:14.378"
"Reclass","U","Update","Hold Class","E6BB0330","203/9/11-19","GROUP","DIST-OPEN","BRA507","2026-03-07 20:36:15.697"
