"event_id","event_date","event_time","opponent","season_id"
"E6BB0327",2026-03-27,"19:15:00","St. Louis Cardinals",569
"E6BB0328",2026-03-28,"19:15:00","San Francisco Giants",569
"E6BB0329",2026-03-29,"13:15:00","Colorado Rockies",569
"E6BB0330",2026-03-30,"19:15:00","Colorado Rockies",569
"E6BB0401",2026-04-01,"19:15:00","Chicago Cubs",569
"E6BB0402",2026-04-02,"19:15:00","Pittsburgh Pirates",569
"E6BB0403",2026-04-03,"19:15:00","Milwaukee Brewers",569
"E6BB0404",2026-04-04,"13:15:00","Arizona Diamondbacks",569
"E6BB0405",2026-04-05,"19:15:00","Toronto Blue Jays",569
"E6BB0406",2026-04-06,"19:15:00","Toronto Blue Jays",569
"E6BB0408",2026-04-08,"19:15:00","Milwaukee Brewers",569
"E6BB0410",2026-04-10,"19:15:00","Chicago Cubs",569
"E6BB0411",2026-04-11,"19:15:00","Milwaukee Brewers",569
"E6BB0412",2026-04-12,"19:15:00","Pittsburgh Pirates",569
"E6BB0413",2026-04-13,"19:15:00","Chicago Cubs",569
"E6BB0414",2026-04-14,"19:15:00","Chicago Cubs",569
"E6BB0415",2026-04-15,"19:15:00","Arizona Diamondbacks",569
"E6BB0416",2026-04-16,"19:15:00","New York Mets",569
"E6BB0417",2026-04-17,"19:15:00","Washington Nationals",569
"E6BB0418",2026-04-18,"19:15:00","Los Angeles Dodgers",569
"E6BB0419",2026-04-19,"19:15:00","Milwaukee Brewers",569
"E6BB0420",2026-04-20,"19:15:00","Cincinnati Reds",569
"E6BB0421",2026-04-21,"19:15:00","Los Angeles Dodgers",569
"E6BB0422",2026-04-22,"19:15:00","New York Mets",569
"E6BB0423",2026-04-23,"19:15:00","Philadelphia Phillies",569
"E6BB0424",2026-04-24,"19:15:00","San Diego Padres",569
"E6BB0425",2026-04-25,"13:15:00","San Diego Padres",569
"E6BB0426",2026-04-26,"13:15:00","Miami Marlins",569
"E6BB0427",2026-04-27,"19:15:00","Toronto Blue Jays",569
"E6BB0429",2026-04-29,"19:15:00","Pittsburgh Pirates",569
"E6BB0501",2026-05-01,"19:15:00","Los Angeles Dodgers",569
"E6BB0502",2026-05-02,"13:15:00","Miami Marlins",569
"E6BB0503",2026-05-03,"13:15:00","Pittsburgh Pirates",569
"E6BB0505",2026-05-05,"19:15:00","Philadelphia Phillies",569
"E6BB0506",2026-05-06,"19:15:00","Colorado Rockies",569
"E6BB0508",2026-05-08,"19:15:00","Pittsburgh Pirates",569
"E6BB0509",2026-05-09,"19:15:00","Milwaukee Brewers",569
"E6BB0510",2026-05-10,"13:15:00","San Francisco Giants",569
"E6BB0511",2026-05-11,"19:15:00","Colorado Rockies",569
"E6BB0513",2026-05-13,"19:15:00","Arizona Diamondbacks",569
"E6BB0514",2026-05-14,"19:15:00","Toronto Blue Jays",569
"E6BB0515",2026-05-15,"19:15:00","New York Mets",569
"E6BB0516",2026-05-16,"13:15:00","St. Louis Cardinals",569
"E6BB0517",2026-05-17,"13:15:00","Arizona Diamondbacks",569
"E6BB0520",2026-05-20,"19:15:00","Milwaukee Brewers",569
"E6BB0522",2026-05-22,"19:15:00","Washington Nationals",569
"E6BB0523",2026-05-23,"13:15:00","Miami Marlins",569
"E6BB0524",2026-05-24,"13:15:00","San Francisco Giants",569
"E6BB0525",2026-05-25,"19:15:00","Los Angeles Dodgers",569
"E6BB0526",2026-05-26,"19:15:00","San Francisco Giants",569
"E6BB0529",2026-05-29,"19:15:00","Arizona Diamondbacks",569
"E6BB0530",2026-05-30,"19:15:00","St. Louis Cardinals",569
"E6BB0531",2026-05-31,"13:15:00","Los Angeles Dodgers",569
"E6BB0602",2026-06-02,"19:15:00","San Diego Padres",569
"E6BB0605",2026-06-05,"19:15:00","Philadelphia Phillies",569
"E6BB0606",2026-06-06,"19:15:00","Cincinnati Reds",569
"E6BB0607",2026-06-07,"19:15:00","Miami Marlins",569
"E6BB0609",2026-06-09,"19:15:00","Chicago Cubs",569
"E6BB0612",2026-06-12,"19:15:00","Washington Nationals",569
"E6BB0613",2026-06-13,"19:15:00","St. Louis Cardinals",569
"E6BB0614",2026-06-14,"19:15:00","Colorado Rockies",569
"E6BB0615",2026-06-15,"19:15:00","Miami Marlins",569
"E6BB0619",2026-06-19,"19:15:00","San Francisco Giants",569
"E6BB0620",2026-06-20,"13:15:00","Arizona Diamondbacks",569
"E6BB0621",2026-06-21,"13:15:00","Chicago Cubs",569
"E6BB0623",2026-06-23,"19:15:00","St. Louis Cardinals",569
"E6BB0624",2026-06-24,"19:15:00","Philadelphia Phillies",569
"E6BB0626",2026-06-26,"19:15:00","Philadelphia Phillies",569
"E6BB0627",2026-06-27,"19:15:00","Pittsburgh Pirates",569
"E6BB0628",2026-06-28,"19:15:00","Los Angeles Dodgers",569
"E6BB0629",2026-06-29,"19:15:00","San Diego Padres",569
"E6BB0630",2026-06-30,"19:15:00","San Diego Padres",569
"E6BB0702",2026-07-02,"19:15:00","Miami Marlins",569
"E6BB0703",2026-07-03,"19:15:00","Los Angeles Dodgers",569
"E6BB0704",2026-07-04,"19:15:00","Chicago Cubs",569
"E6BB0705",2026-07-05,"19:15:00","Pittsburgh Pirates",569
"E6BB0707",2026-07-07,"19:15:00","Washington Nationals",569
"E6BB0708",2026-07-08,"19:15:00","Pittsburgh Pirates",569
"E6BB0709",2026-07-09,"19:15:00","Milwaukee Brewers",569
"E6BB0710",2026-07-10,"19:15:00","Milwaukee Brewers",569
"E6BB0711",2026-07-11,"13:15:00","Washington Nationals",569
