"EVENT","DATETIME","EVENTSCORE","ARPS","pct_no_show","pct_sold"
"St. Louis Cardinals","2026-03-27 19:15:00",239,108.7878,0.1611,0.9561
"San Francisco Giants","2026-03-28 19:15:00",110,40.8493,0.3122,0.6485
"Colorado Rockies","2026-03-29 13:15:00",150,71.7078,0.3189,0.8018
"Colorado Rockies","2026-03-30 19:15:00",80,31.7209,0.2491,0.661
"Chicago Cubs","2026-04-01 19:15:00",161,91.0598,0.1977,0.7487
"Pittsburgh Pirates","2026-04-02 19:15:00",86,39.3152,0.2791,0.6056
"Milwaukee Brewers","2026-04-03 19:15:00",127,58.688,0.223,0.5658
"Arizona Diamondbacks","2026-04-04 13:15:00",127,48.4577,0.1984,0.5146
"Toronto Blue Jays","2026-04-05 19:15:00",214,95.6987,0.144,0.8361
"Toronto Blue Jays","2026-04-06 19:15:00",176,72.3697,0.1741,0.8101
"Milwaukee Brewers","2026-04-08 19:15:00",130,43.2344,0.2622,0.6917
"Chicago Cubs","2026-04-10 19:15:00",172,68.2891,0.1578,0.7626
"Milwaukee Brewers","2026-04-11 19:15:00",122,48.6733,0.2303,0.6214
"Pittsburgh Pirates","2026-04-12 19:15:00",92,27.8383,0.2768,0.5647
"Chicago Cubs","2026-04-13 19:15:00",108,49.9035,0.2293,0.6411
"Chicago Cubs","2026-04-14 19:15:00",182,88.7286,0.1865,0.7246
"Arizona Diamondbacks","2026-04-15 19:15:00",122,45.4886,0.2656,0.6954
"New York Mets","2026-04-16 19:15:00",175,73.101,0.1891,0.8977
"Washington Nationals","2026-04-17 19:15:00",108,30.5503,0.2853,0.5593
"Los Angeles Dodgers","2026-04-18 19:15:00",212,86.1663,0.1112,0.8506
"Milwaukee Brewers","2026-04-19 19:15:00",181,66.2208,0.2442,0.7882
"Cincinnati Reds","2026-04-20 19:15:00",80,27.2422,0.2737,0.5263
"Los Angeles Dodgers","2026-04-21 19:15:00",187,94.0299,0.2024,0.8298
"New York Mets","2026-04-22 19:15:00",188,80.1966,0.1789,0.6133
"Philadelphia Phillies","2026-04-23 19:15:00",80,37.0845,0.2968,0.5523
"San Diego Padres","2026-04-24 19:15:00",172,73.8487,0.2385,0.7103
"San Diego Padres","2026-04-25 13:15:00",143,59.2091,0.1951,0.646
"Miami Marlins","2026-04-26 13:15:00",120,51.979,0.232,0.4672
"Toronto Blue Jays","2026-04-27 19:15:00",128,39.4696,0.2219,0.6269
"Pittsburgh Pirates","2026-04-29 19:15:00",119,54.5254,0.2048,0.6951
"Los Angeles Dodgers","2026-05-01 19:15:00",209,82.0539,0.1889,0.8035
"Miami Marlins","2026-05-02 13:15:00",179,68.6853,0.1269,0.766
"Pittsburgh Pirates","2026-05-03 13:15:00",108,43.8886,0.2777,0.6479
"Philadelphia Phillies","2026-05-05 19:15:00",128,56.4594,0.2022,0.6146
"Colorado Rockies","2026-05-06 19:15:00",89,37.8275,0.241,0.4949
"Pittsburgh Pirates","2026-05-08 19:15:00",86,25.1915,0.2856,0.69
"Milwaukee Brewers","2026-05-09 19:15:00",152,52.5959,0.2823,0.6848
"San Francisco Giants","2026-05-10 13:15:00",147,68.9871,0.2675,0.6318
"Colorado Rockies","2026-05-11 19:15:00",88,34.3187,0.2422,0.477
"Arizona Diamondbacks","2026-05-13 19:15:00",143,56.8904,0.2339,0.8128
"Toronto Blue Jays","2026-05-14 19:15:00",120,47.7914,0.2519,0.5273
"New York Mets","2026-05-15 19:15:00",177,66.419,0.135,0.7256
"St. Louis Cardinals","2026-05-16 13:15:00",162,87.3068,0.1802,0.8115
"Arizona Diamondbacks","2026-05-17 13:15:00",142,73.3086,0.2074,0.7878
"Milwaukee Brewers","2026-05-20 19:15:00",106,45.3638,0.3214,0.6271
"Washington Nationals","2026-05-22 19:15:00",114,51.185,0.2329,0.772
"Miami Marlins","2026-05-23 13:15:00",138,51.48,0.2751,0.6641
"San Francisco Giants","2026-05-24 13:15:00",177,80.9969,0.1581,0.7656
"Los Angeles Dodgers","2026-05-25 19:15:00",174,85.7042,0.2556,0.6512
"San Francisco Giants","2026-05-26 19:15:00",80,30.4294,0.2486,0.6575
"Arizona Diamondbacks","2026-05-29 19:15:00",152,68.9176,0.1909,0.8331
"St. Louis Cardinals","2026-05-30 19:15:00",183,83.7272,0.2103,0.7302
"Los Angeles Dodgers","2026-05-31 13:15:00",206,95.0136,0.183,0.9058
"San Diego Padres","2026-06-02 19:15:00",164,53.1269,0.2491,0.864
"Philadelphia Phillies","2026-06-05 19:15:00",223,101.7092,0.08,0.9365
"Cincinnati Reds","2026-06-06 19:15:00",163,75.1797,0.2456,0.6868
"Miami Marlins","2026-06-07 19:15:00",103,38.4392,0.2474,0.6018
"Chicago Cubs","2026-06-09 19:15:00",132,66.1056,0.2313,0.63
"Washington Nationals","2026-06-12 19:15:00",105,55.9484,0.2203,0.45
"St. Louis Cardinals","2026-06-13 19:15:00",167,72.6045,0.1555,0.5764
"Colorado Rockies","2026-06-14 19:15:00",113,55.8181,0.2805,0.7989
"Miami Marlins","2026-06-15 19:15:00",119,55.0282,0.2607,0.5971
"San Francisco Giants","2026-06-19 19:15:00",205,95.2764,0.1488,0.8567
"Arizona Diamondbacks","2026-06-20 13:15:00",96,38.6724,0.2561,0.5065
"Chicago Cubs","2026-06-21 13:15:00",201,93.8589,0.2019,0.9033
"St. Louis Cardinals","2026-06-23 19:15:00",133,56.5659,0.2937,0.5984
"Philadelphia Phillies","2026-06-24 19:15:00",144,73.7146,0.2788,0.673
"Philadelphia Phillies","2026-06-26 19:15:00",230,105.0816,0.1758,0.9268
"Pittsburgh Pirates","2026-06-27 19:15:00",132,52.8302,0.277,0.7856
"Los Angeles Dodgers","2026-06-28 19:15:00",235,111.2511,0.1574,0.831
"San Diego Padres","2026-06-29 19:15:00",153,46.2189,0.2493,0.7739
"San Diego Padres","2026-06-30 19:15:00",166,58.42,0.1477,0.6131
"Miami Marlins","2026-07-02 19:15:00",118,49.7591,0.2648,0.6453
"Los Angeles Dodgers","2026-07-03 19:15:00",250,131.1394,0.0913,0.8136
"Chicago Cubs","2026-07-04 19:15:00",220,96.9621,0.1312,0.7606
"Pittsburgh Pirates","2026-07-05 19:15:00",141,53.1414,0.3075,0.7288
"Washington Nationals","2026-07-07 19:15:00",80,28.1666,0.2598,0.5409
"Pittsburgh Pirates","2026-07-08 19:15:00",80,40.9866,0.2433,0.5886
"Milwaukee Brewers","2026-07-09 19:15:00",139,65.5657,0.2252,0.6365
"Milwaukee Brewers","2026-07-10 19:15:00",165,80.0838,0.2158,0.7002
"Washington Nationals","2026-07-11 13:15:00",128,53.63,0.3004,0.7
