"event_name","section_name","row_name","seat_num","num_seats","class_name","status","add_datetime"
"E6BB0424","310","5",8,1,"DIST-OPEN","available",NA
"E6BB0424","120","4",15,1,"DIST-OPEN","SOLD","2026-02-22 21:32:40.816"
"E6BB0424","101","4",20,1,"DIST-OPEN","SOLD","2026-03-28 09:43:45.976"
"E6BB0424","318","3",8,1,"DIST-OPEN","available",NA
"E6BB0424","203","5",18,1,"DIST-OPEN","available",NA
"E6BB0424","311","5",19,1,"HOLD","HELD",NA
"E6BB0424","211","2",20,1,"DIST-OPEN","SOLD","2026-04-02 22:59:58.424"
"E6BB0424","308","10",11,1,"SEASON","SOLD","2025-10-13 18:23:34.742"
"E6BB0424","309","9",22,1,"DIST-OPEN","SOLD","2026-03-26 20:26:06.006"
"E6BB0424","104","10",24,1,"GROUP","HELD",NA
"E6BB0424","220","10",23,1,"GROUP","HELD",NA
"E6BB0424","110","9",15,1,"DIST-OPEN","available",NA
"E6BB0424","304","5",12,1,"DIST-OPEN","available",NA
"E6BB0424","307","9",19,1,"DIST-OPEN","SOLD","2025-12-19 01:37:13.986"
"E6BB0424","210","5",4,1,"DIST-OPEN","available",NA
"E6BB0424","114","10",3,1,"SEASON","SOLD","2025-10-21 07:39:58.705"
"E6BB0424","405","1",7,1,"DIST-OPEN","available",NA
"E6BB0424","119","1",23,1,"DIST-OPEN","SOLD","2026-04-07 04:48:20.335"
"E6BB0424","302","2",17,1,"DIST-OPEN","available",NA
"E6BB0424","312","6",6,1,"COMP","HELD",NA
"E6BB0424","406","2",3,1,"DIST-OPEN","available",NA
"E6BB0424","203","6",6,1,"COMP","HELD",NA
"E6BB0424","113","7",1,1,"DIST-OPEN","SOLD","2026-03-01 00:29:00.857"
"E6BB0424","220","8",16,1,"DIST-OPEN","SOLD","2026-03-29 20:11:17.624"
"E6BB0424","302","5",17,1,"DIST-OPEN","available",NA
"E6BB0424","202","5",15,1,"GROUP","HELD",NA
"E6BB0424","215","5",2,1,"DIST-OPEN","SOLD","2026-03-13 11:59:25.275"
"E6BB0424","202","7",18,1,"SEASON","SOLD","2025-10-02 13:08:46.571"
"E6BB0424","315","1",5,1,"COMP","HELD",NA
"E6BB0424","319","6",13,1,"SEASON","SOLD","2025-10-04 15:29:37.462"
"E6BB0424","103","6",14,1,"HOLD","HELD",NA
"E6BB0424","113","5",15,1,"DIST-OPEN","SOLD","2026-04-11 01:37:42.774"
"E6BB0424","301","4",7,1,"DIST-OPEN","SOLD","2026-02-23 05:09:09.578"
"E6BB0424","110","8",16,1,"HOLD","COMP","2026-02-12 17:57:08.297"
"E6BB0424","318","6",24,1,"SEASON","SOLD","2025-10-05 17:55:06.830"
"E6BB0424","112","2",14,1,"DIST-OPEN","SOLD","2025-12-19 20:37:21.144"
"E6BB0424","107","7",13,1,"DIST-OPEN","available",NA
"E6BB0424","410","1",1,1,"HOLD","HELD",NA
"E6BB0424","318","4",17,1,"HOLD","HELD",NA
"E6BB0424","207","8",23,1,"SEASON","SOLD","2025-10-10 10:45:24.466"
"E6BB0424","216","9",1,1,"DIST-OPEN","available",NA
"E6BB0424","212","2",13,1,"HOLD","HELD",NA
"E6BB0424","206","1",15,1,"COMP","COMP","2026-02-15 04:24:59.830"
"E6BB0424","407","7",2,1,"COMP","HELD",NA
"E6BB0424","214","6",3,1,"HOLD","HELD",NA
"E6BB0424","107","8",1,1,"DIST-OPEN","SOLD","2026-04-10 14:32:44.460"
"E6BB0424","118","6",11,1,"DIST-OPEN","SOLD","2026-01-15 13:02:40.359"
"E6BB0424","320","7",24,1,"COMP","HELD",NA
"E6BB0424","313","4",15,1,"SEASON","SOLD","2025-10-21 19:22:32.937"
"E6BB0424","201","1",18,1,"DIST-OPEN","available",NA
"E6BB0424","109","7",16,1,"DIST-OPEN","available",NA
"E6BB0424","409","7",6,1,"DIST-OPEN","available",NA
"E6BB0424","119","7",11,1,"SEASON","SOLD","2025-10-13 01:04:08.812"
"E6BB0424","118","4",15,1,"DIST-OPEN","COMP","2026-01-21 23:19:36.820"
"E6BB0424","111","5",10,1,"DIST-OPEN","SOLD","2026-01-04 04:34:37.903"
"E6BB0424","116","6",22,1,"DIST-OPEN","available",NA
"E6BB0424","318","10",5,1,"DIST-OPEN","available",NA
"E6BB0424","407","5",4,1,"DIST-OPEN","available",NA
"E6BB0424","403","5",21,1,"SEASON","SOLD","2025-10-20 03:22:37.668"
"E6BB0424","101","7",24,1,"SEASON","SOLD","2025-10-12 13:41:34.002"
"E6BB0424","310","4",4,1,"SEASON","SOLD","2025-10-13 21:49:58.606"
"E6BB0424","120","6",24,1,"DIST-OPEN","SOLD","2026-02-27 14:17:57.936"
"E6BB0424","101","10",8,1,"DIST-OPEN","available",NA
"E6BB0424","318","3",12,1,"DIST-OPEN","available",NA
"E6BB0424","203","7",12,1,"DIST-OPEN","COMP","2026-02-10 20:29:07.649"
"E6BB0424","311","8",3,1,"DIST-OPEN","available",NA
"E6BB0424","211","2",17,1,"DIST-OPEN","SOLD","2026-02-16 06:37:52.667"
"E6BB0424","308","6",2,1,"HOLD","HELD",NA
"E6BB0424","309","1",19,1,"SEASON","SOLD","2025-10-24 19:01:08.680"
"E6BB0424","104","1",6,1,"DIST-OPEN","available",NA
"E6BB0424","220","7",18,1,"COMP","HELD",NA
"E6BB0424","110","9",23,1,"DIST-OPEN","available",NA
"E6BB0424","304","8",15,1,"DIST-OPEN","available",NA
"E6BB0424","307","5",10,1,"DIST-OPEN","available",NA
"E6BB0424","210","1",4,1,"HOLD","HELD",NA
"E6BB0424","114","7",17,1,"DIST-OPEN","SOLD","2026-03-20 19:41:58.344"
"E6BB0424","405","9",24,1,"DIST-OPEN","available",NA
"E6BB0424","119","7",17,1,"SEASON","SOLD","2025-10-07 12:48:46.641"
"E6BB0424","302","4",17,1,"DIST-OPEN","SOLD","2026-02-24 05:17:36.427"
"E6BB0424","312","1",12,1,"DIST-OPEN","available",NA
"E6BB0424","406","5",9,1,"GROUP","HELD",NA
"E6BB0424","203","6",1,1,"HOLD","HELD",NA
"E6BB0424","113","1",23,1,"GROUP","HELD",NA
"E6BB0424","220","7",2,1,"SEASON","SOLD","2025-10-25 19:14:03.407"
"E6BB0424","302","6",13,1,"DIST-OPEN","available",NA
"E6BB0424","202","3",8,1,"DIST-OPEN","available",NA
"E6BB0424","215","7",11,1,"COMP","HELD",NA
"E6BB0424","202","3",13,1,"DIST-OPEN","SOLD","2026-04-08 23:12:09.704"
"E6BB0424","315","1",2,1,"DIST-OPEN","available",NA
"E6BB0424","319","3",23,1,"DIST-OPEN","available",NA
"E6BB0424","103","10",24,1,"DIST-OPEN","SOLD","2026-03-21 00:03:03.487"
"E6BB0424","113","2",3,1,"DIST-OPEN","available",NA
"E6BB0424","301","7",19,1,"DIST-OPEN","SOLD","2025-12-31 20:24:55.565"
