"section_name","row_name","pc_family","price_location"
"101","1","A","Dugout Infield"
"101","2","A","Dugout Infield"
"101","3","A","Dugout Infield"
"101","4","A","Dugout Infield"
"101","5","A","Dugout Infield"
"101","6","A","Dugout Infield"
"101","7","A","Dugout Infield"
"101","8","A","Dugout Infield"
"102","1","A","Dugout Infield"
"102","2","A","Dugout Infield"
"102","3","A","Dugout Infield"
"102","4","A","Dugout Infield"
"102","5","A","Dugout Infield"
"102","6","A","Dugout Infield"
"102","7","A","Dugout Infield"
"102","8","A","Dugout Infield"
"103","1","A","Dugout Infield"
"103","2","A","Dugout Infield"
"103","3","A","Dugout Infield"
"103","4","A","Dugout Infield"
"103","5","A","Dugout Infield"
"103","6","A","Dugout Infield"
"103","7","A","Dugout Infield"
"103","8","A","Dugout Infield"
"104","1","A","Dugout Infield"
"104","2","A","Dugout Infield"
"104","3","A","Dugout Infield"
"104","4","A","Dugout Infield"
"104","5","A","Dugout Infield"
"104","6","A","Dugout Infield"
"104","7","A","Dugout Infield"
"104","8","A","Dugout Infield"
"105","1","A","Dugout Infield"
"105","2","A","Dugout Infield"
"105","3","A","Dugout Infield"
"105","4","A","Dugout Infield"
"105","5","A","Dugout Infield"
"105","6","A","Dugout Infield"
"105","7","A","Dugout Infield"
"105","8","A","Dugout Infield"
"106","1","B","Lower Infield"
"106","2","B","Lower Infield"
"106","3","B","Lower Infield"
"106","4","B","Lower Infield"
"106","5","B","Lower Infield"
"106","6","B","Lower Infield"
"106","7","B","Lower Infield"
"106","8","B","Lower Infield"
"107","1","B","Lower Infield"
"107","2","B","Lower Infield"
"107","3","B","Lower Infield"
"107","4","B","Lower Infield"
"107","5","B","Lower Infield"
"107","6","B","Lower Infield"
"107","7","B","Lower Infield"
"107","8","B","Lower Infield"
"108","1","B","Lower Infield"
"108","2","B","Lower Infield"
"108","3","B","Lower Infield"
"108","4","B","Lower Infield"
"108","5","B","Lower Infield"
"108","6","B","Lower Infield"
"108","7","B","Lower Infield"
"108","8","B","Lower Infield"
"109","1","B","Lower Infield"
"109","2","B","Lower Infield"
"109","3","B","Lower Infield"
"109","4","B","Lower Infield"
"109","5","B","Lower Infield"
"109","6","B","Lower Infield"
"109","7","B","Lower Infield"
"109","8","B","Lower Infield"
"110","1","B","Lower Infield"
"110","2","B","Lower Infield"
"110","3","B","Lower Infield"
"110","4","B","Lower Infield"
"110","5","B","Lower Infield"
"110","6","B","Lower Infield"
"110","7","B","Lower Infield"
"110","8","B","Lower Infield"
"111","1","C","Lower Baseline"
"111","2","C","Lower Baseline"
"111","3","C","Lower Baseline"
