"visitor_id","visit_id","event_name","event_date","first_hit_timestamp","purchase_id","purchased","section","row","price_location","num_seats","ticket_price","total_price","dist_open_count","cheapest_price","cheapest_pc_family","priciest_price","priciest_pc_family","avg_price"
"3820635727819548586-3837111100726487692-Web","3820635727819548586-3837111100726487692-Web-8-1772966856","E6BB0624","2026-06-24","2026-06-08 15:26:28",NA,FALSE,NA,NA,NA,NA,NA,NA,819,20.83,"L",196.91,"C",81.65
"1858733092018256434-6149518597098087706-Web","1858733092018256434-6149518597098087706-Web-10-1772477412","E6BB0426","2026-04-26","2026-01-02 20:45:03",NA,FALSE,NA,NA,NA,NA,NA,NA,3688,19.75,"J",134.31,"A",59.73
"9275511470151301339-5692576538917511496-Web","9275511470151301339-5692576538917511496-Web-6-1772103633","E6BB0426","2026-04-26","2026-03-28 22:09:19",NA,FALSE,NA,NA,NA,NA,NA,NA,1270,30.63,"O",108.88,"C",67.87
"0980188676367038988-4446562682179724066-Web","0980188676367038988-4446562682179724066-Web-12-1779604685","E6BB0402","2026-04-02","2026-03-30 20:58:14",NA,FALSE,NA,NA,NA,NA,NA,NA,1159,43.41,"K",138.94,"A",88.47
"6884306814063190808-6617450690014978199-Web","6884306814063190808-6617450690014978199-Web-2-1772892997","E6BB0609","2026-06-09","2026-06-05 14:35:39",NA,FALSE,NA,NA,NA,NA,NA,NA,1285,41.88,"K",199.27,"A",94.98
"9388931053714844856-0035313955007928256-Web","9388931053714844856-0035313955007928256-Web-9-1773630573","E6BB0417","2026-04-17","2026-03-27 16:46:30",NA,FALSE,NA,NA,NA,NA,NA,NA,1873,20.68,"N",149.96,"A",83.63
"0634825278851191287-8431176706406125067-Web","0634825278851191287-8431176706406125067-Web-5-1770663692","E6BB0523","2026-05-23","2026-04-15 18:02:43",NA,FALSE,NA,NA,NA,NA,NA,NA,2076,32.6,"M",126.14,"C",60.61
"5289533410283051836-0812923951898881212-Web","5289533410283051836-0812923951898881212-Web-5-1779838379","E6BB0414","2026-04-14","2026-04-08 11:04:54",NA,FALSE,NA,NA,NA,NA,NA,NA,1025,32.68,"P",144.78,"E",84.01
"7389938400240257733-8816219963849189546-Web","7389938400240257733-8816219963849189546-Web-14-1779835993","E6BB0511","2026-05-11","2026-04-20 19:27:06",NA,FALSE,NA,NA,NA,NA,NA,NA,1330,48.76,"M",204.26,"A",95.43
"9165597402644891795-8823214610515309063-Web","9165597402644891795-8823214610515309063-Web-14-1776825592","E6BB0514","2026-05-14","2026-04-25 17:03:54","ATL:TM_38-33378/ATL-042526895",TRUE,"316","6","Infiniti Club Baseline",4,51.62,206.48,889,42.2,"O",112.94,"B",74.22
"7669573950045046017-3709650866533388340-Web","7669573950045046017-3709650866533388340-Web-10-1779188805","E6BB0416","2026-04-16","2026-04-11 13:09:11",NA,FALSE,NA,NA,NA,NA,NA,NA,1394,33.37,"N",171.29,"D",90.65
"9701464104585498550-7872808816814065521-Web","9701464104585498550-7872808816814065521-Web-6-1772238821","E6BB0505","2026-05-05","2026-04-14 20:55:09",NA,FALSE,NA,NA,NA,NA,NA,NA,1468,46.47,"O",154.16,"D",110.25
"2949852379115371002-0561749704700192835-Web","2949852379115371002-0561749704700192835-Web-8-1778020960","E6BB0612","2026-06-12","2026-05-21 16:17:30",NA,FALSE,NA,NA,NA,NA,NA,NA,1889,31.4,"O",137.91,"B",59.76
"4356455041301978649-2487541379009551943-Web","4356455041301978649-2487541379009551943-Web-15-1772116745","E6BB0503","2026-05-03","2026-04-23 13:34:10",NA,FALSE,NA,NA,NA,NA,NA,NA,1260,20.6,"J",127.62,"C",45.37
"1296213312076563156-9715249167986923695-Web","1296213312076563156-9715249167986923695-Web-1-1777032787","E6BB0614","2026-06-14","2026-05-31 12:24:28",NA,FALSE,NA,NA,NA,NA,NA,NA,1021,46.22,"J",160.5,"C",67.96
"7633903994840307931-2653470090673851058-Web","7633903994840307931-2653470090673851058-Web-9-1774382671","E6BB0531","2026-05-31","2026-04-07 18:07:09",NA,FALSE,NA,NA,NA,NA,NA,NA,1566,26.65,"M",104.18,"C",62.35
"8550863185530204524-8923664715660154198-Web","8550863185530204524-8923664715660154198-Web-11-1778337482","E6BB0612","2026-06-12","2026-06-03 08:26:49",NA,FALSE,NA,NA,NA,NA,NA,NA,1543,32.58,"O",147.72,"E",84.92
"5108090820097210406-1492599761075707844-Web","5108090820097210406-1492599761075707844-Web-14-1776144635","E6BB0329","2026-03-29","2026-01-04 16:04:03",NA,FALSE,NA,NA,NA,NA,NA,NA,2700,20.91,"P",181.93,"C",73.09
"2492715601115843846-8969919256013009349-Web","2492715601115843846-8969919256013009349-Web-10-1775910654","E6BB0506","2026-05-06","2026-03-26 18:29:07",NA,FALSE,NA,NA,NA,NA,NA,NA,2539,29.33,"O",103.6,"E",67.46
"6159337297710545641-4549352442587359079-Web","6159337297710545641-4549352442587359079-Web-1-1779035361","E6BB0524","2026-05-24","2026-04-26 12:34:09",NA,FALSE,NA,NA,NA,NA,NA,NA,2104,29.18,"J",168.77,"A",62.2
"3882649137035602142-3378306683714419033-Web","3882649137035602142-3378306683714419033-Web-14-1776119764","E6BB0503","2026-05-03","2026-04-02 20:42:58",NA,FALSE,NA,NA,NA,NA,NA,NA,2436,34.18,"P",176.59,"C",94.68
"3190003769857171550-7264183083443562562-Web","3190003769857171550-7264183083443562562-Web-4-1775244253","E6BB0327","2026-03-27","2026-03-12 15:14:36",NA,FALSE,NA,NA,NA,NA,NA,NA,1569,51.51,"J",139.17,"B",73.95
"3860965400446382479-3914993292977558216-Web","3860965400446382479-3914993292977558216-Web-8-1777501015","E6BB0411","2026-04-11","2026-04-05 21:30:11",NA,FALSE,NA,NA,NA,NA,NA,NA,784,42.03,"L",132.02,"D",70.82
"0929098494169659138-9783766914574213671-Web","0929098494169659138-9783766914574213671-Web-13-1771548719","E6BB0425","2026-04-25","2026-03-22 10:45:04",NA,FALSE,NA,NA,NA,NA,NA,NA,1549,35.53,"N",201.61,"A",89.94
"0283672420573387987-7632310521941566118-Web","0283672420573387987-7632310521941566118-Web-6-1775487199","E6BB0419","2026-04-19","2026-03-17 17:03:54",NA,FALSE,NA,NA,NA,NA,NA,NA,1440,36.77,"J",186.86,"C",85.89
"2514614217751259673-2488647378188073061-Web","2514614217751259673-2488647378188073061-Web-9-1776904027","E6BB0420","2026-04-20","2026-03-25 15:52:54",NA,FALSE,NA,NA,NA,NA,NA,NA,2436,31.74,"J",191.15,"D",86.09
"7207939652123241387-6956375113924468604-Web","7207939652123241387-6956375113924468604-Web-15-1771299208","E6BB0418","2026-04-18","2026-04-15 19:13:23",NA,FALSE,NA,NA,NA,NA,NA,NA,1624,44.72,"M",163.45,"D",103.87
"6527788560820277896-1988453348154653920-Web","6527788560820277896-1988453348154653920-Web-12-1771979946","E6BB0503","2026-05-03","2026-04-15 08:56:56",NA,FALSE,NA,NA,NA,NA,NA,NA,1115,27.05,"O",139.98,"A",83.02
"7703512533707821446-7016964425266094755-Web","7703512533707821446-7016964425266094755-Web-10-1774108026","E6BB0624","2026-06-24","2026-06-16 21:16:46",NA,FALSE,NA,NA,NA,NA,NA,NA,852,29.21,"M",200.68,"D",88.28
"9927630791612918803-3225147046077072380-Web","9927630791612918803-3225147046077072380-Web-4-1773378747","E6BB0515","2026-05-15","2026-02-22 18:25:32",NA,FALSE,NA,NA,NA,NA,NA,NA,2989,14.94,"J",97.73,"D",64.45
"0779605449513133258-0016965592744544912-Web","0779605449513133258-0016965592744544912-Web-6-1774729150","E6BB0419","2026-04-19","2026-04-16 20:38:47",NA,FALSE,NA,NA,NA,NA,NA,NA,1510,28.86,"P",97.01,"B",56.21
"1951476137621953995-9745474674119694785-Web","1951476137621953995-9745474674119694785-Web-2-1770839285","E6BB0526","2026-05-26","2026-02-28 13:45:50",NA,FALSE,NA,NA,NA,NA,NA,NA,3754,12,"P",160.37,"B",73.55
"1953632548339874457-6231150317183074933-Web","1953632548339874457-6231150317183074933-Web-6-1776864429","E6BB0404","2026-04-04","2026-03-21 15:30:07",NA,FALSE,NA,NA,NA,NA,NA,NA,1227,42.75,"J",201.44,"B",103.08
"5120862605170624418-8107746568918505987-Web","5120862605170624418-8107746568918505987-Web-14-1775382867","E6BB0613","2026-06-13","2026-06-13 14:49:32",NA,FALSE,NA,NA,NA,NA,NA,NA,864,38.14,"N",187.86,"D",79.14
"0731113497544142963-0524705697693704483-Web","0731113497544142963-0524705697693704483-Web-7-1770511115","E6BB0707","2026-07-07","2026-06-05 15:50:35",NA,FALSE,NA,NA,NA,NA,NA,NA,1795,39.68,"O",192.15,"C",79.18
"7779358791947285196-4760534056423731375-Web","7779358791947285196-4760534056423731375-Web-13-1774722674","E6BB0627","2026-06-27","2026-04-08 15:51:04",NA,FALSE,NA,NA,NA,NA,NA,NA,4044,24.12,"J",109.48,"D",52.69
"2585241472642788885-2896342845562758370-Web","2585241472642788885-2896342845562758370-Web-6-1777250073","E6BB0411","2026-04-11","2026-03-21 09:48:23",NA,FALSE,NA,NA,NA,NA,NA,NA,2039,25.68,"J",137.72,"A",81.1
"4533781103216688080-6513833754035304290-Web","4533781103216688080-6513833754035304290-Web-14-1773751474","E6BB0420","2026-04-20","2026-04-07 20:27:42",NA,FALSE,NA,NA,NA,NA,NA,NA,985,40.5,"O",119.29,"A",83.94
"4931652986225108041-9226960843157312138-Web","4931652986225108041-9226960843157312138-Web-11-1775583595","E6BB0525","2026-05-25","2026-05-03 18:14:09",NA,FALSE,NA,NA,NA,NA,NA,NA,1144,36.9,"J",160.6,"B",97.03
"4595689126139442623-6212396167465445377-Web","4595689126139442623-6212396167465445377-Web-2-1776871093","E6BB0408","2026-04-08","2026-04-01 15:42:29",NA,FALSE,NA,NA,NA,NA,NA,NA,1531,28.37,"P",106.52,"E",60.77
"3652369318872963492-1045743861392359855-Web","3652369318872963492-1045743861392359855-Web-15-1778419819","E6BB0520","2026-05-20","2026-05-10 16:10:19",NA,FALSE,NA,NA,NA,NA,NA,NA,967,42.47,"N",167.17,"C",101.3
"5899159902463169673-7793366643053449148-Web","5899159902463169673-7793366643053449148-Web-10-1773093283","E6BB0609","2026-06-09","2026-04-22 16:08:22",NA,FALSE,NA,NA,NA,NA,NA,NA,2154,30.43,"N",134.01,"C",70.98
"5347737737509387889-9510047798611521913-Web","5347737737509387889-9510047798611521913-Web-9-1779676658","E6BB0619","2026-06-19","2026-05-13 22:27:55",NA,FALSE,NA,NA,NA,NA,NA,NA,1476,38.54,"N",143.77,"E",73.84
"3843801448703717693-6084858571624432866-Web","3843801448703717693-6084858571624432866-Web-10-1775078288","E6BB0511","2026-05-11","2026-03-20 15:16:31",NA,FALSE,NA,NA,NA,NA,NA,NA,3143,16.97,"M",179.11,"E",76.82
"3706280059701334104-2422441988936784808-Web","3706280059701334104-2422441988936784808-Web-3-1779036732","E6BB0702","2026-07-02","2026-06-02 17:42:55",NA,FALSE,NA,NA,NA,NA,NA,NA,1522,38.79,"M",182.39,"C",101.54
"5933160391553224212-3281002290422645625-Web","5933160391553224212-3281002290422645625-Web-5-1776090464","E6BB0327","2026-03-27","2026-02-10 15:03:05",NA,FALSE,NA,NA,NA,NA,NA,NA,2209,24.56,"P",95.76,"E",50.35
"8849227007827511157-5881140946966751299-Web","8849227007827511157-5881140946966751299-Web-5-1778786435","E6BB0703","2026-07-03","2026-06-20 17:25:42",NA,FALSE,NA,NA,NA,NA,NA,NA,1619,36.59,"P",150.64,"E",79.8
"2731914946902343538-4046365557821826013-Web","2731914946902343538-4046365557821826013-Web-13-1773077977","E6BB0421","2026-04-21","2026-03-17 13:33:36",NA,FALSE,NA,NA,NA,NA,NA,NA,1615,34.4,"N",187.87,"E",82.96
"7531070993372725468-9606018817117634753-Web","7531070993372725468-9606018817117634753-Web-6-1779059842","E6BB0520","2026-05-20","2026-05-14 12:58:54",NA,FALSE,NA,NA,NA,NA,NA,NA,1329,36.95,"O",141.66,"B",60.53
"7133539733779819122-5095333275111683339-Web","7133539733779819122-5095333275111683339-Web-1-1771192160","E6BB0629","2026-06-29","2026-06-13 17:44:15",NA,FALSE,NA,NA,NA,NA,NA,NA,1889,22.73,"K",151.44,"C",77.9
"8409344197318101098-7705825454925977899-Web","8409344197318101098-7705825454925977899-Web-3-1776700618","E6BB0514","2026-05-14","2026-04-19 15:10:20",NA,FALSE,NA,NA,NA,NA,NA,NA,906,34.56,"N",179.75,"C",60.83
"1831359215533855541-1036173233021181777-Web","1831359215533855541-1036173233021181777-Web-11-1773294360","E6BB0403","2026-04-03","2026-02-24 13:03:34",NA,FALSE,NA,NA,NA,NA,NA,NA,1937,27.93,"J",167.56,"E",74.98
"0058834953033380504-7119151874688040350-Web","0058834953033380504-7119151874688040350-Web-9-1776297773","E6BB0630","2026-06-30","2026-05-27 16:11:06",NA,FALSE,NA,NA,NA,NA,NA,NA,1962,29.76,"N",133.8,"C",90.12
"6762254334257418865-4156175638537394589-Web","6762254334257418865-4156175638537394589-Web-13-1770776645","E6BB0505","2026-05-05","2026-03-26 12:23:56",NA,FALSE,NA,NA,NA,NA,NA,NA,2079,20.4,"P",111.33,"C",40.53
"7032572084378885263-7488507118421281488-Web","7032572084378885263-7488507118421281488-Web-9-1770744115","E6BB0605","2026-06-05","2026-05-24 12:31:49",NA,FALSE,NA,NA,NA,NA,NA,NA,1105,49.36,"P",142.87,"C",100.78
"1904492707441048865-8643837396521271677-Web","1904492707441048865-8643837396521271677-Web-6-1771358185","E6BB0615","2026-06-15","2026-05-09 14:28:00",NA,FALSE,NA,NA,NA,NA,NA,NA,2202,33.88,"J",166.39,"E",75.34
"6207774944692662327-9141169974542733022-Web","6207774944692662327-9141169974542733022-Web-7-1777015376","E6BB0503","2026-05-03","2026-03-31 17:57:27",NA,FALSE,NA,NA,NA,NA,NA,NA,2325,12,"N",96.66,"A",33.64
"7011165946336599037-6418960205280635841-Web","7011165946336599037-6418960205280635841-Web-7-1774151901","E6BB0529","2026-05-29","2026-03-17 20:40:05",NA,FALSE,NA,NA,NA,NA,NA,NA,2610,16.13,"J",139.37,"A",63.45
"3265672565505536602-1568369728077325902-Web","3265672565505536602-1568369728077325902-Web-5-1778119212","E6BB0627","2026-06-27","2026-05-15 13:43:00",NA,FALSE,NA,NA,NA,NA,NA,NA,1925,29.65,"K",163.81,"A",66.65
"3347630239596635595-0294219104276601820-Web","3347630239596635595-0294219104276601820-Web-14-1773829030","E6BB0406","2026-04-06","2026-03-07 21:24:22",NA,FALSE,NA,NA,NA,NA,NA,NA,618,49.68,"J",160.92,"D",102.17
"7175454083143803073-3829793446690388168-Web","7175454083143803073-3829793446690388168-Web-9-1770104069","E6BB0627","2026-06-27","2026-06-20 16:48:34",NA,FALSE,NA,NA,NA,NA,NA,NA,1136,41.73,"K",172.58,"E",74.63
"8759479699515313238-8421260137903665858-Web","8759479699515313238-8421260137903665858-Web-11-1775942621","E6BB0505","2026-05-05","2026-04-25 14:35:53",NA,FALSE,NA,NA,NA,NA,NA,NA,1024,44.5,"J",200.23,"D",87.62
"6598400802094450622-8722735597385482985-Web","6598400802094450622-8722735597385482985-Web-1-1773713289","E6BB0404","2026-04-04","2026-03-15 23:20:04",NA,FALSE,NA,NA,NA,NA,NA,NA,1143,27.84,"L",174.35,"D",66.41
